Country Name, Country Code, Continent, Population 2017
China,CHN,Asia,1386395000
India,IND,Asia,1339180127
United States,USA,North America,325719178
Indonesia,IDN,Asia,263991379
Brazil,BRA,South America,209288278
Pakistan,PAK,Asia,197015955
Nigeria,NGA,Africa,190886311
Bangladesh,BGD,Asia,164669751
Russian Federation,RUS,Europe,144495044
Mexico,MEX,North America,129163276
Japan,JPN,Asia,126785797
Ethiopia,ETH,Africa,104957438
Philippines,PHL,Asia,104918090
"Egypt, Arab Rep.",EGY,Africa,97553151
Vietnam,VNM,Asia,95540800
Germany,DEU,Europe,82695000
"Congo, Dem. Rep.",COD,Africa,81339988
"Iran, Islamic Rep.",IRN,Asia,81162788
Turkey,TUR,Asia,80745020
Thailand,THA,Asia,69037513
France,FRA,Europe,67118648
United Kingdom,GBR,Europe,66022273
Italy,ITA,Europe,60551416
Tanzania,TZA,Africa,57310019
South Africa,ZAF,Africa,56717156
Myanmar,MMR,Asia,53370609
"Korea, Rep.",KOR,Asia,51466201
Kenya,KEN,Africa,49699862
Colombia,COL,South America,49065615
Spain,ESP,Europe,46572028
Ukraine,UKR,Europe,44831159
Argentina,ARG,South America,44271041
Uganda,UGA,Africa,42862958
Algeria,DZA,Africa,41318142
Sudan,SDN,Africa,40533330
Iraq,IRQ,Asia,38274618
Poland,POL,Europe,37975841
Canada,CAN,North America,36708083
Morocco,MAR,Africa,35739580
Afghanistan,AFG,Asia,35530081
Saudi Arabia,SAU,Asia,32938213
Uzbekistan,UZB,Asia,32387200
Peru,PER,South America,32165485
"Venezuela, RB",VEN,South America,31977065
Malaysia,MYS,Asia,31624264
Angola,AGO,Africa,29784193
Mozambique,MOZ,Africa,29668834
Nepal,NPL,Asia,29304998
Ghana,GHA,Africa,28833629
"Yemen, Rep.",YEM,Asia,28250420
Madagascar,MDG,Africa,25570895
"Korea, Dem. People�s Rep.",PRK,Asia,25490965
Australia,AUS,Oceania,24598933
Cote d'Ivoire,CIV,Africa,24294750
Cameroon,CMR,Africa,24053727
Niger,NER,Africa,21477348
Sri Lanka,LKA,Asia,21444000
Romania,ROU,Europe,19586539
Burkina Faso,BFA,Africa,19193382
Malawi,MWI,Africa,18622104
Mali,MLI,Africa,18541980
Syrian Arab Republic,SYR,Asia,18269868
Chile,CHL,South America,18054726
Kazakhstan,KAZ,Asia,18037646
Netherlands,NLD,Europe,17132854
Zambia,ZMB,Africa,17094130
Guatemala,GTM,North America,16913503
Ecuador,ECU,South America,16624858
Zimbabwe,ZWE,Africa,16529904
Cambodia,KHM,Asia,16005373
Senegal,SEN,Africa,15850567
Chad,TCD,Africa,14899994
Somalia,SOM,Africa,14742523
Guinea,GIN,Africa,12717176
South Sudan,SSD,Africa,12575714
Rwanda,RWA,Africa,12208407
Tunisia,TUN,Africa,11532127
Cuba,CUB,North America,11484636
Belgium,BEL,Europe,11372068
Benin,BEN,Africa,11175692
Bolivia,BOL,South America,11051600
Haiti,HTI,North America,10981229
Burundi,BDI,Africa,10864245
Dominican Republic,DOM,North America,10766998
Greece,GRC,Europe,10760421
Czech Republic,CZE,Europe,10591323
Portugal,PRT,Europe,10293718
Sweden,SWE,Europe,10067744
Azerbaijan,AZE,Asia,9862429
Hungary,HUN,Europe,9781127
Jordan,JOR,Asia,9702353
Belarus,BLR,Europe,9507875
United Arab Emirates,ARE,Asia,9400145
Honduras,HND,North America,9265067
Tajikistan,TJK,Asia,8921343
Austria,AUT,Europe,8809212
Israel,ISR,Asia,8712400
Switzerland,CHE,Europe,8466017
Papua New Guinea,PNG,Oceania,8251162
Togo,TGO,Africa,7797694
Sierra Leone,SLE,Africa,7557212
"Hong Kong SAR, China",HKG,Asia,7391700
Bulgaria,BGR,Europe,7075991
Serbia,SRB,Europe,7022268
Lao PDR,LAO,Asia,6858160
Paraguay,PRY,South America,6811297
El Salvador,SLV,North America,6377853
Libya,LBY,Africa,6374616
Nicaragua,NIC,North America,6217581
Kyrgyz Republic,KGZ,Asia,6201500
Lebanon,LBN,Asia,6082357
Denmark,DNK,Europe,5769603
Turkmenistan,TKM,Asia,5758075
Singapore,SGP,Asia,5612253
Finland,FIN,Europe,5511303
Slovak Republic,SVK,Europe,5439892
Norway,NOR,Europe,5282223
